industry_id,zip_code,value
Management of companies & enterprises,60630,0
Management of companies & enterprises,60631,842
Management of companies & enterprises,60632,0
Management of companies & enterprises,60633,0
Management of companies & enterprises,60634,0
Management of companies & enterprises,60635,0
Management of companies & enterprises,60636,0
Management of companies & enterprises,60637,0
Management of companies & enterprises,60638,0
Management of companies & enterprises,60639,0
Management of companies & enterprises,60640,320
Management of companies & enterprises,60641,0
Management of companies & enterprises,60643,0
Management of companies & enterprises,60644,0
Management of companies & enterprises,60645,0
Management of companies & enterprises,60646,0
Management of companies & enterprises,60647,14
Management of companies & enterprises,60649,0
Management of companies & enterprises,60651,0
Management of companies & enterprises,60652,0
Management of companies & enterprises,60653,0
Management of companies & enterprises,60655,0
Management of companies & enterprises,60656,0
Management of companies & enterprises,60657,0
Management of companies & enterprises,60659,0
Management of companies & enterprises,60660,0
Management of companies & enterprises,60661,"1,753"
Management of companies & enterprises,60666,0
Administrative & support. & waste management,60601,"7,612"
Administrative & support. & waste management,60602,"1,991"
Administrative & support. & waste management,60603,"3,116"
Administrative & support. & waste management,60604,"3,382"
Administrative & support. & waste management,60606,"17,265"
Administrative & support. & waste management,60607,"2,342"
Administrative & support. & waste management,60608,"5,309"
Administrative & support. & waste management,60609,218
Administrative & support. & waste management,60610,"5,941"
Administrative & support. & waste management,60611,"9,712"
Administrative & support. & waste management,60612,"1,305"
Administrative & support. & waste management,60613,918
