stop_id,object_id,route,address,longitude,latitude,zip_code
4505,3117,62,Archer & Hamlin,-87.71846418,41.80547469,60632
1384,3118,11,Lincoln & Byron,-87.67767765,41.95247149,60613
15735,3119,"90,307,318",Harlem & Oak,-87.80525962,41.892368299999994,60305
4499,3120,62,Archer & Spaulding,-87.70624384,41.81299370000001,60632
10361,3121,54B,Cicero & Marquette Rd,-87.74223121,41.77132172,60638
9876,3122,88,Higgins & Marmora,-87.77593672,41.97245671,60630
9915,3123,68,Washington & Summit,-87.82679661,42.00772952,60068
3588,3124,97,Niles Center & Greenleaf,-87.74966425,42.03722549,60077
5150,3125,"8,44",Halsted & 42nd Street,-87.64585550000001,41.81758292,60609
2931,3126,111,Vincennes & Edmaire,-87.66662467,41.68678778,60643
2550,3127,4,Cottage Grove & 48th Street,-87.606595,41.807852000000004,60615
14998,3128,"82,96",McCormick & Pratt,-87.7117262,42.00470469,60712
7946,3129,77,Belmont & Spaulding,-87.70995738,41.93939573,60618
961,3130,72,North Ave & Drake,-87.71471161,41.9101141,60647
7529,3131,"34,103,106,119",Michigan & 96th Street,-87.62063922,41.72005384,60619
7577,3132,34,Ellis & 132nd Place,-87.59687170000001,41.65503346,60827
1499,3133,11,Lincoln & Sacramento,-87.704385,41.988701,60659
12085,3134,11,6933 N Kedzie,-87.70927488,42.00737135,60645
7538,3135,"34,119",Michigan & 105th Street,-87.62072359,41.70360933,60628
7549,3136,"34,119",Michigan & Kensington,-87.62077605,41.68402454,60628
7295,3137,30,Avenue O & Veteran's Drive (12400 S),-87.53909481,41.66789337,60633
10204,3138,54,Cicero & Byron,-87.74737751,41.95164172,60641
8226,3139,49,Western & Huron,-87.68688161,41.89380051,60612
11714,3140,86,Ridgeland & Division,-87.78487009,41.9019343,60302
7374,3141,30,Houston & 91st Street,-87.54994926,41.72991405,60617
7378,3142,30,9177 S South Chicago (CHA Building),-87.553779,41.72875,60617
9587,3143,91,Austin & Wabansia,-87.775358,41.911155,60639
9538,3019,86,Nagle & Peterson,-87.78767081,41.99034842,60646
11509,3020,84,Caldwell & Leader,-87.75400721,41.9914275,60646
9004,3021,53,Pulaski & George,-87.72713149,41.93375186,60641
4424,3022,62,Archer & California,-87.69468479,41.81981709,60632
9818,3023,88,Higgins & Montclare,-87.80456368,41.98067293,60656
10476,3024,54A,Cicero & Hiawatha,-87.748412,41.993077,60646
14175,3025,"63W,165",Harlem & 64th Place,-87.8008978,41.77498234,60638
9580,3026,91,Austin & Altgeld,-87.77585,41.92573,60639
7062,3027,"N5,26,71",S. Shore Drive & 80th Street,-87.54807827,41.75003906,60617
6330,3028,60,Blue Island & Paulina,-87.66859774,41.85118946,60608
3582,3029,"54A,97",Skokie Blvd & Church,-87.74704167,42.04774333,60077
8770,3030,48,Damen & 52nd Street,-87.6745507,41.79909567,60609
11572,3031,85,Central & Adams,-87.764848,41.878411,60644
4924,3032,"135,148",Clarendon & Cuyler,-87.64980179999999,41.95585928,60613
1053,3033,151,4242 N Sheridan,-87.654718,41.959340999999995,60613
14261,3034,"201,206",Ridge & Washington,-87.68669105,42.03286713,60202
12251,3035,100,Avenue C & 111th Street,-87.52709394,41.69369157,60617
7236,3036,30,South Chicago & Harper,-87.5876645,41.75285417,60619
2552,3037,4,Cottage Grove & 50th Street,-87.60655147,41.80420164,60615
5168,3038,44,Racine & Garfield,-87.65494194,41.79338523,60636
9590,3039,91,Austin & Le Moyne,-87.77561302,41.90735524,60302
9929,3040,68,Northwest Hwy & Ogallah,-87.81338000000001,42.000890999999996,60631
2449,3041,29,Lafayette & 82nd Street,-87.62572800000001,41.745585,60620
17173,3042,54B,7100 S Cicero,-87.74211211,41.76444561,60638
4446,3043,62,Archer & Poplar,-87.65235404,41.84425395,60608
14363,3044,"93,206",Dodge & Cleveland,-87.69935238,42.03024404,60202
8597,3045,81W,Delphia & Catalpa,-87.841559,41.979315,60656
4705,3046,82,Homan & 13th Street,-87.710554,41.864595,60623
1655,3047,"6,28,55",S Hyde Park & 56th Street,-87.58394847,41.79350191,60637
11561,3048,85,Central & Iowa,-87.765529,41.896749,60651
584,3049,"3,66,120,121,157",Fairbanks & Huron,-87.620375,41.895127,60611
8918,3050,50,Damen & Ohio,-87.676854,41.892183,60622
11213,3051,82,Central Park & 24th Street,-87.714816,41.847938,60623
9018,3052,53,Pulaski & Le Moyne,-87.72657473,41.90817302,60651
2867,3053,111,Vincennes & Edmaire,-87.66654406,41.68661725,60643
9559,3054,91,Austin & Wilson,-87.777212,41.964045,60630
5475,3055,56,Milwaukee & Maplewood,-87.69125645,41.91907644,60647
3837,3056,57,Laramie & Huron,-87.755593,41.893076,60644
